Food_product,Land_use_change,Animal_Feed,Farm,Processing,Transport,Packging,Retail,Total_emissions,Eutrophying_emissions_per_kilogram
Wheat & Rye (Bread),0.1,0,0.8,0.2,0.1,0.1,0.1,1.4,7.16
Maize (Meal),0.3,0,0.5,0.1,0.1,0.1,0,1.1,4.03
Barley (Beer),0,0,0.2,0.1,0,0.5,0.3,1.1,2.33
Oatmeal,0,0,1.4,0,0.1,0.1,0,1.6,11.23
Rice,0,0,3.6,0.1,0.1,0.1,0.1,4,35.07
Potatoes,0,0,0.2,0,0.1,0,0,0.3,3.48
Cassava,0.6,0,0.2,0,0.1,0,0,0.9,0.69
Cane Sugar,1.2,0,0.5,0,0.8,0.1,0,2.6,16.92
Beet Sugar,0,0,0.5,0.2,0.6,0.1,0,1.4,5.41
Other Pulses,0,0,1.1,0,0.1,0.4,0,1.6,17.08
Peas,0,0,0.7,0,0.1,0,0,0.8,7.52
Nuts,-2.1,0,2.1,0,0.1,0.1,0,0.2,19.15
Groundnuts,0.4,0,1.4,0.4,0.1,0.1,0,2.4,14.14
Soymilk,0.2,0,0.1,0.2,0.1,0.1,0.3,1,1.06
Tofu,1,0,0.5,0.8,0.2,0.2,0.3,3,6.16
Soybean Oil,3.1,0,1.5,0.3,0.3,0.8,0,6,11.69
Palm Oil,3.1,0,2.1,1.3,0.2,0.9,0,7.6,10.67
Sunflower Oil,0.1,0,2.1,0.2,0.2,0.9,0,3.5,50.66
Rapeseed Oil,0.2,0,2.3,0.2,0.2,0.8,0,3.7,19.19
Olive Oil,-0.4,0,4.3,0.7,0.5,0.9,0,6,37.26
Tomatoes,0.4,0,0.7,0,0.2,0.1,0,1.4,7.51
Onions & Leeks,0,0,0.2,0,0.1,0,0,0.3,3.24
Root Vegetables,0,0,0.2,0,0.1,0,0,0.3,1.61
Brassicas,0,0,0.3,0,0.1,0,0,0.4,5.01
Other Vegetables,0,0,0.2,0.1,0.2,0,0,0.5,2.27
Citrus Fruit,-0.1,0,0.3,0,0.1,0,0,0.3,2.24
Bananas,0,0,0.3,0.1,0.3,0.1,0,0.8,3.29
Apples,0,0,0.2,0,0.1,0,0,0.3,1.45
Berries & Grapes,0,0,0.7,0,0.2,0.2,0,1.1,6.12
Wine,-0.1,0,0.6,0.1,0.1,0.7,0,1.4,4.57
Other Fruit,0.1,0,0.4,0,0.2,0,0,0.7,2.43
Coffee,3.7,0,10.4,0.6,0.1,1.6,0.1,16.5,110.52
Dark Chocolate,14.3,0,3.7,0.2,0.1,0.4,0,18.7,87.08
Beef (beef herd),16.3,1.9,39.4,1.3,0.3,0.2,0.2,59.6,301.41
Beef (dairy herd),0.9,2.5,15.7,1.1,0.4,0.3,0.2,21.1,365.29
Lamb & Mutton,0.5,2.4,19.5,1.1,0.5,0.3,0.2,24.5,97.13
Pig Meat,1.5,2.9,1.7,0.3,0.3,0.3,0.2,7.2,76.38
Poultry Meat,2.5,1.8,0.7,0.4,0.3,0.2,0.2,6.1,48.7
Milk,0.5,0.2,1.5,0.1,0.1,0.1,0.3,2.8,10.65
Cheese,4.5,2.3,13.1,0.7,0.1,0.2,0.3,21.2,98.37
Eggs,0.7,2.2,1.3,0,0.1,0.2,0,4.5,21.76
Fish (farmed),0.5,0.8,3.6,0,0.1,0.1,0,5.1,235.12
Shrimps (farmed),0.2,2.5,8.4,0,0.2,0.3,0.2,11.8,227.22
