Category Code,Food_Product_Categories,Item Code (CPC)
1,Apples,01341
2,Bananas,"01312, 01313"
3,Barley (Beer),"0115, 24310.01"
4,Beef (beef herd),"02111, 21512, 21111.01, 21151"
5,Beef (dairy herd),
6,Beet Sugar,01801
7,Berries & Grapes,"01330, 01344.02, 01351.01, 01351.02, 01352, 01353.01, 01354, 01355.0, 01355.02, 01355.90, 01344.01"
8,Brassicas,"01212, 01213, 01214, 01215"
9,Cane Sugar,01802
10,Cassava,"01520.01, 21631.01"
11,Cheese,"22251.01, 22251.02, 22252, 22253, 22254"
12,Citrus Fruit,"01321, 01322, 01323, 01324, 01329"
13,Coffee,01610
14,Dark Chocolate,01640
15,Eggs,"0232, 0231"
16,Fish (farmed),
17,Groundnuts,"0142, 2162"
18,Lamb & Mutton,"02122, 21514, 21115, 21155"
19,Maize (Meal),"0112, 01290.01, 21691.02"
20,Milk,"02211, 02291, 02212, 02292, 02293, 22211, 22212, 22221.01, 22221.02, 22222.01, 22222.02, 22230.04, 22110.02, 22120, 22130.02, 22130.03, 22230.01, 22241.01, 22241.02, 22242.01, 22242.02, 22249.01, 22249.02"
21,Nuts,"01359.02, 01371, 01372, 01373, 01374, 01375, 01376, 01377, 01379.01, 01379.02, 01379.90, 01499.01, 01499.01,01499.04"
22,Oatmeal,0117
23,Olive Oil,2167
24,Onions & Leeks,"01252, 01253.01, 01253.02, 01254"
25,Other Fruit,"01221, 01229, 01232, 01233, 01235, 01311, 01314, 01315, 01316, 01317, 01318, 01319, 01342.01, 01342.02, 01343, 01345, 01346, 01349.10, 01349.20, 01359.01, 01359.90, 01499.05, 01460, 01450, 01651, 01652, 01270, 2166"
26,Other Pulses,"01704, 01703, 01702, 01701, 01706, 01707, 01708, 01709.01, 01709.02, 01709.90, 01491.02, 01499.03, 01499.06, 01653, 01654, 01658, 0143, 0144, 0145, 0146, 0147, 0148, 01449.01, 01449.02, 01449.90, 01356, 0114, 0116, 0118, 01191, 01192, 01193, 01194, 01195, 01199.02, 01199.90, 21631.02, 2168, 21691.07, 21691.12"
27,Other Vegetables,"01211, 01290.90, 01216, 01656, 01655, 01620, 01630, 01659, 01699, 01241.01, 01241.90, 01243, 01239.01, 01231, 01930.01, 23913"
28,Palm Oil,"01491.01, 2165, 21700.02"
29,Peas,"01705, 01242, "
30,Pig Meat,"02140, 21511.01, 21521, 21153"
31,Potatoes,01510
32,Poultry Meat,"02151, 02152, 02153, 02154, 21113.01, 21121, 21122, 21123, 21124, 21170.01"
33,Rapeseed Oil,"21641.01, 21700.02"
34,Rice,0113
35,Root Vegetables,"01530, 01540, 01550, 01599.10, 01591, 01657, 01691, 01251"
36,Shrimps (farmed),
37,Soybean Oil,2161
38,Soymilk,
39,Sunflower Oil,21631.01
40,Tofu,0141
41,Tomatoes,01234
42,Wheat & Rye (Bread),0111
43,Wine,24212.02
