Item_Code_CPC_num,Item_Code_CPC_text,Item,Category_Code,Food_Product_Categories
1371,'01371,"Almonds, in shell",21,Nuts
1654,'01654,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",26,Other Pulses
1341,'01341,Apples,1,Apples
1343,'01343,Apricots,25,Other Fruit
1379.01,'01379.01,Areca nuts,21,Nuts
1216,'01216,Artichokes,27,Other Vegetables
1211,'01211,Asparagus,27,Other Vegetables
1311,'01311,Avocados,25,Other Fruit
1708,'01708,"Bambara beans, dry",26,Other Pulses
1312,'01312,Bananas,2,Bananas
115,'0115,Barley,3,Barley (Beer)
1701,'01701,"Beans, dry",26,Other Pulses
24310.01,'24310.01,"Beer of barley, malted",3,Barley (Beer)
1355.01,'01355.01,Blueberries,7,Berries & Grapes
1377,'01377,"Brazil nuts, in shell",21,Nuts
1702,'01702,"Broad beans and horse beans, dry",26,Other Pulses
1243,'01243,"Broad beans and horse beans, green",27,Other Vegetables
1192,'01192,Buckwheat,26,Other Pulses
22249.01,'22249.01,Butter and ghee of sheep milk,20,Milk
22242.01,'22242.01,Butter of buffalo milk,20,Milk
22241.01,'22241.01,Butter of cow milk,20,Milk
22249.02,'22249.02,Butter of goat milk,20,Milk
22230.04,'22230.04,"Buttermilk, dry",20,Milk
1212,'01212,Cabbages,8,Brassicas
1195,'01195,Canary seed,26,Other Pulses
1229,'01229,Cantaloupes and other melons,25,Other Fruit
1251,'01251,Carrots and turnips,35,Root Vegetables
1372,'01372,"Cashew nuts, in shell",21,Nuts
1359.02,'01359.02,Cashewapple,21,Nuts
1219.01,'01219.01,Cassava leaves,10,Cassava
1520.01,'01520.01,"Cassava, fresh",10,Cassava
1447,'01447,Castor oil seeds,26,Other Pulses
21512,'21512,"Cattle fat, unrendered",4,Beef (beef herd)
1213,'01213,Cauliflowers and broccoli,8,Brassicas
1199.9,'01199.90,Cereals n.e.c.,26,Other Pulses
22252,'22252,"Cheese from milk of buffalo, fresh or processed",11,Cheese
22254,'22254,"Cheese from milk of goats, fresh or processed",11,Cheese
22253,'22253,"Cheese from milk of sheep, fresh or processed",11,Cheese
22251.02,'22251.02,Cheese from skimmed cow milk,11,Cheese
22251.01,'22251.01,Cheese from whole cow milk,11,Cheese
1344.02,'01344.02,Cherries,7,Berries & Grapes
1373,'01373,"Chestnuts, in shell",21,Nuts
1703,'01703,"Chick peas, dry",26,Other Pulses
1691,'01691,Chicory roots,35,Root Vegetables
1652,'01652,"Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw",25,Other Fruit
1231,'01231,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",27,Other Vegetables
1655,'01655,"Cinnamon and cinnamon-tree flowers, raw",27,Other Vegetables
1656,'01656,"Cloves (whole stems), raw",27,Other Vegetables
1640,'01640,Cocoa beans,14,Dark Chocolate
2166,'2166,Coconut oil,25,Other Fruit
1460,'01460,"Coconuts, in shell",25,Other Fruit
1610,'01610,"Coffee, green",13,Coffee
143,'0143,Cotton seed,26,Other Pulses
2168,'2168,Cottonseed oil,26,Other Pulses
1706,'01706,"Cow peas, dry",26,Other Pulses
1355.02,'01355.02,Cranberries,7,Berries & Grapes
22120,'22120,"Cream, fresh",20,Milk
1232,'01232,Cucumbers and gherkins,25,Other Fruit
1351.01,'01351.01,Currants,7,Berries & Grapes
1314,'01314,Dates,25,Other Fruit
21151,'21151,"Edible offal of cattle, fresh, chilled or frozen",4,Beef (beef herd)
21153,'21153,"Edible offal of pigs, fresh, chilled or frozen",30,Pig Meat
21155,'21155,"Edible offal of sheep, fresh, chilled or frozen",18,Lamb & Mutton
1599.1,'01599.10,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",35,Root Vegetables
1233,'01233,Eggplants (aubergines),25,Other Fruit
232,'0232,"Eggs from other birds in shell, fresh, n.e.c.",15,Eggs
21511.01,'21511.01,Fat of pigs,30,Pig Meat
1315,'01315,Figs,25,Other Fruit
1193,'01193,Fonio,26,Other Pulses
22242.02,'22242.02,Ghee from buffalo milk,20,Milk
22241.02,'22241.02,Ghee from cow milk,20,Milk
1657,'01657,"Ginger, raw",35,Root Vegetables
1351.02,'01351.02,Gooseberries,7,Berries & Grapes
1330,'01330,Grapes,7,Berries & Grapes
1290.01,'01290.01,Green corn (maize),19,Maize (Meal)
1252,'01252,Green garlic,24,Onions & Leeks
23913,'23913,"Green tea (not fermented), black tea (fermented) and partly fermented tea",27,Other Vegetables
2162,'2162,Groundnut oil,17,Groundnuts
142,'0142,"Groundnuts, excluding shelled",17,Groundnuts
1374,'01374,"Hazelnuts, in shell",21,Nuts
1449.02,'01449.02,Hempseed,26,Other Pulses
231,'0231,"Hen eggs in shell, fresh",15,Eggs
1659,'01659,Hop cones,27,Other Vegetables
1499.05,'01499.05,Kapok fruit,25,Other Fruit
1499.06,'01499.06,Kapokseed in shell,26,Other Pulses
1499.01,'01499.01,Karite nuts (sheanuts),21,Nuts
1352,'01352,Kiwi fruit,7,Berries & Grapes
1379.02,'01379.02,Kola nuts,21,Nuts
1254,'01254,Leeks and other alliaceous vegetables,24,Onions & Leeks
1322,'01322,Lemons and limes,12,Citrus Fruit
1704,'01704,"Lentils, dry",26,Other Pulses
1214,'01214,Lettuce and chicory,8,Brassicas
1441,'01441,Linseed,26,Other Pulses
1356,'01356,Locust beans (carobs),26,Other Pulses
1709.02,'01709.02,Lupins,26,Other Pulses
112,'0112,Maize (corn),19,Maize (Meal)
1316,'01316,"Mangoes, guavas and mangosteens",25,Other Fruit
21700.02,'21700.02,Margarine and shortening,33,Rapeseed Oil
1630,'01630,Maté leaves,27,Other Vegetables
21111.01,'21111.01,"Meat of cattle with the bone, fresh or chilled",4,Beef (beef herd)
21121,'21121,"Meat of chickens, fresh or chilled",32,Poultry Meat
21122,'21122,"Meat of ducks, fresh or chilled",32,Poultry Meat
21123,'21123,"Meat of geese, fresh or chilled",32,Poultry Meat
21113.01,'21113.01,"Meat of pig with the bone, fresh or chilled",30,Pig Meat
21170.01,'21170.01,"Meat of pigeons and other birds n.e.c., fresh, chilled or frozen",32,Poultry Meat
21115,'21115,"Meat of sheep, fresh or chilled",18,Lamb & Mutton
21124,'21124,"Meat of turkeys, fresh or chilled",32,Poultry Meat
1449.01,'01449.01,Melonseed,26,Other Pulses
118,'0118,Millet,26,Other Pulses
1199.02,'01199.02,Mixed grain,26,Other Pulses
23540,'23540,Molasses,9,Cane Sugar
1270,'01270,Mushrooms and truffles,25,Other Fruit
1442,'01442,Mustard seed,26,Other Pulses
1653,'01653,"Nutmeg, mace, cardamoms, raw",26,Other Pulses
117,'0117,Oats,22,Oatmeal
21691.12,'21691.12,Oil of linseed,26,Other Pulses
21691.02,'21691.02,Oil of maize,19,Maize (Meal)
21691.14,'21691.14,Oil of palm kernel,26,Other Pulses
21691.07,'21691.07,Oil of sesame seed,26,Other Pulses
1491.01,'01491.01,Oil palm fruit,28,Palm Oil
1239.01,'01239.01,Okra,27,Other Vegetables
2167,'2167,Olive oil,23,Olive Oil
1450,'01450,Olives,25,Other Fruit
1253.02,'01253.02,"Onions and shallots, dry (excluding dehydrated)",24,Onions & Leeks
1253.01,'01253.01,"Onions and shallots, green",24,Onions & Leeks
1323,'01323,Oranges,12,Citrus Fruit
1241.9,'01241.90,"Other beans, green",27,Other Vegetables
1355.9,'01355.90,Other berries and fruits of the genus vaccinium n.e.c.,7,Berries & Grapes
1329,'01329,"Other citrus fruit, n.e.c.",12,Citrus Fruit
1359.9,'01359.90,"Other fruits, n.e.c.",25,Other Fruit
1379.9,'01379.90,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",21,Nuts
1449.9,'01449.90,"Other oil seeds, n.e.c.",26,Other Pulses
1349.1,'01349.10,Other pome fruits,25,Other Fruit
1709.9,'01709.90,Other pulses n.e.c.,26,Other Pulses
1699,'01699,"Other stimulant, spice and aromatic crops, n.e.c.",27,Other Vegetables
1349.2,'01349.20,Other stone fruits,25,Other Fruit
1319,'01319,"Other tropical fruits, n.e.c.",25,Other Fruit
1290.9,'01290.90,"Other vegetables, fresh n.e.c.",27,Other Vegetables
1491.02,'01491.02,Palm kernels,26,Other Pulses
2165,'2165,Palm oil,28,Palm Oil
1317,'01317,Papayas,25,Other Fruit
1345,'01345,Peaches and nectarines,25,Other Fruit
1342.01,'01342.01,Pears,25,Other Fruit
1705,'01705,"Peas, dry",29,Peas
1242,'01242,"Peas, green",29,Peas
1651,'01651,"Pepper (Piper spp.), raw",25,Other Fruit
1930.01,'01930.01,"Peppermint, spearmint",27,Other Vegetables
1359.01,'01359.01,Persimmons,25,Other Fruit
21521,'21521,"Pig fat, rendered",30,Pig Meat
1707,'01707,"Pigeon peas, dry",26,Other Pulses
1318,'01318,Pineapples,25,Other Fruit
1375,'01375,"Pistachios, in shell",21,Nuts
1313,'01313,Plantains and cooking bananas,2,Bananas
1346,'01346,Plums and sloes,25,Other Fruit
1321,'01321,Pomelos and grapefruits,12,Citrus Fruit
1448,'01448,Poppy seed,26,Other Pulses
1510,'01510,Potatoes,31,Potatoes
1235,'01235,"Pumpkins, squash and gourds",25,Other Fruit
1342.02,'01342.02,Quinces,25,Other Fruit
1194,'01194,Quinoa,26,Other Pulses
1443,'01443,Rape or colza seed,33,Rapeseed Oil
